key,title,authors,author_usernames,proceedings,year,doi,thumbnail,pdf,video,website,award
taichi2026-omniobserve,OmniObserve: Revealing Hidden Consensus in Online Meetings,"Shih-Kai Hong, Ethel Yu-Tsen Hsiao, Yi-Jie Chen, Jason Zhi-Jun Chang, Elvis Dragon Mao, Grace Yu-Chun Yen","sky,ethel,ej,jason,em,grace",TAICHI 2026 Poster Session,2026,,/images/publications/OmniObserve-TAICHI2026.webp,,,https://taichi2026.taiwanchi.org/program#day2,
urop2026-omniobserve,OmniObserve: An online meeting facilator unveiling hidden consensus,"陳奕潔 EJ, Ethel Hsiao, 張智鈞, Elvis Dragon Mao, Sky Shih-Kai Hong, Grace Yu-Chun Yen","ej,ethel,jason,em,sky,grace",NYCU CS Undergraduate Project Contest,2026,,,/files/posters/OmniObserve.pdf,https://youtu.be/l1eS5ZlEzFM,,"Honorable Mention · NYCU CS Undergraduate Project Contest, Spring 2026"
urop2026-longtermrms,A Traceable Hierarchical Memory System for Long-Term Research Meeting Support,"蔡尚融, 陳宥臻, 李羿昕, 洪薇欣, Grace Yu-Chun Yen","shangjung,kellychen,hsin,velda,grace",NYCU CS Undergraduate Project Contest,2026,,,/files/posters/LongTermRMS.pdf,,,"Honorable Mention · NYCU CS Undergraduate Project Contest, Spring 2026"
urop2026-deliberate,Deliberate: A Human–AI Collaborative System for Evaluating Large-Scale Application Materials,"張晉睿, 王韋凱, 馬晨瑜, 陳俞安, Grace Yu-Chun Yen","rain112550185,lilb0425,cs112550152,andrew,grace",NYCU CS Undergraduate Project Contest,2026,,,/files/posters/Deliberate.pdf,,,
evaluaid-2026,EvaluAId: Human-AI Collaborative Evaluation of Open-Ended Student Essays,"Chao Zhang, Kexin Phyllis Ju, Xinyi Lu, Grace Yu-Chun Yen, Jeffrey M. Rzeszotarski",,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,2026,10.1145/3772318.3790814,/images/publications/evaluaid-2026.webp,https://dl.acm.org/doi/pdf/10.1145/3772318.3790814,,,
rationalizer-2026,Rationalizer: Leveraging LLM to Support User Providing the Rationales Behind the Rating of Likert Scale Questionnaires,"Meng Ting Shih, Po Yen Wu, Yun Chen Chang, Grace Yu-Chun Yen, Liwei Chan",,Proceedings of the 31st International Conference on Intelligent User Interfaces,2026,10.1145/3742413.3789171,/images/publications/rationalizer-2026.webp,,,,
disentangling-threads-2026,Disentangling Threads: Exploring the Potential of LLM-Supported Discussion Forum Analysis for Community Insight,"Tony Wang Li, Zhiqing Wang, Thanh-Nha Tran, Grace Yu-Chun Yen, Steven Dow",,ACM Collective Intelligence 2026 (accepted; preprint available),2026,10.1145/3834581.3838629,/images/publications/disentangling-threads-2026.webp,https://arxiv.org/pdf/2608.20591,,https://arxiv.org/abs/2608.20591,
assistive-meal-preparation-2026,Structuring User Preferences for Task Delegation and Proactivity in Assistive Meal Preparation: Insights from a Survey Study,"Han Pan, Ti-Chung Cheng, Grace Yu-Chun Yen, Yi-Ting Chen",,6th Workshop on Lifelong Learning and Personalization in Long-Term Human-Robot Interaction (LEAP-HRI 2026),2026,,/images/publications/assistive-meal-preparation-2026.webp,https://leap-hri.github.io/docs/LEAP-HRI_2026_paper_7.pdf,,https://leap-hri.github.io/,
friction-2025,Friction: Deciphering Writing Feedback into Writing Revisions through LLM-Assisted Reflection,"Chao Zhang, Kexin Ju, Peter Bidoshi, Grace Yu-Chun Yen, Jeffrey M. Rzeszotarski",,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,2025,10.1145/3706598.3714316,/images/publications/friction-2025.webp,https://dl.acm.org/doi/pdf/10.1145/3706598.3714316,,,
synthia-2025,Synthia: Visually Interpreting and Synthesizing Feedback for Writing Revision,"Chao Zhang, Kexin Ju, Zhuolun Han, Grace Yu-Chun Yen, Jeffrey M. Rzeszotarski",,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,2025,10.1145/3746059.3747703,/images/publications/synthia-2025.webp,https://dl.acm.org/doi/pdf/10.1145/3746059.3747703,,,
